 film_id |        title         | count 
---------+----------------------+-------
     446 | HYSTERICAL GRAIL     |     4
     445 | HYDE DOCTOR          |     6
     444 | HUSTLER PARTY        |     8
     443 | HURRICANE AFFAIR     |     7
     442 | HUNTING MUSKETEERS   |     3
     441 | HUNTER ALTER         |     2
     440 | HUNGER ROOF          |     4
     439 | HUNCHBACK IMPOSSIBLE |     6
     438 | HUMAN GRAFFITI       |     5
     437 | HOUSE DYNAMITE       |     6
     436 | HOURS RAGE           |     6
     435 | HOTEL HAPPINESS      |     2
     434 | HORROR REIGN         |     8
     433 | HORN WORKING         |     6
     432 | HOPE TOOTSIE         |     5
     431 | HOOSIERS BIRDCAGE    |     3
     430 | HOOK CHARIOTS        |     4
     429 | HONEY TIES           |     6
     428 | HOMICIDE PEACH       |     6
     427 | HOMEWARD CIDER       |     4
     426 | HOME PITY            |     3
     425 | HOLY TADPOLE         |     2
     424 | HOLOCAUST HIGHBALL   |     5
     423 | HOLLYWOOD ANONYMOUS  |     4
     422 | HOLLOW JEOPARDY      |     2
     421 | HOLIDAY GAMES        |     4
     420 | HOLES BRANNIGAN      |     5
     418 | HOBBIT ALIEN         |     8
     417 | HILLS NEIGHBORS      |     6
     415 | HIGH ENCINO          |     6
     416 | HIGHBALL POTTER      |     6
     414 | HELLFIGHTERS SIERRA  |     6
     413 | HEDWIG ALTER         |     3
     412 | HEAVYWEIGHTS BEAST   |     8
     411 | HEAVENLY GUN         |     2
     410 | HEAVEN FREEDOM       |     5
     409 | HEARTBREAKERS BRIGHT |     7
     408 | HEAD STRANGER        |     7
     407 | HAWK CHILL           |     2
     406 | HAUNTING PIANIST     |     6
     405 | HAUNTED ANTITRUST    |     2
     403 | HARRY IDAHO          |     8
     402 | HARPER DYING         |     6
     401 | HAROLD FRENCH        |     2
     400 | HARDLY ROBBERS       |     2
     399 | HAPPINESS UNITED     |     2
     398 | HANOVER GALAXY       |     4
     397 | HANKY OCTOBER        |     7
     396 | HANGING DEEP         |     4
     395 | HANDICAP BOONDOCK    |     6
     394 | HAMLET WISDOM        |     4
     393 | HALLOWEEN NUTS       |     2
     392 | HALL CASSIDY         |     6
     391 | HALF OUTFIELD        |     7
(54 rows)
