                country                | profit  
---------------------------------------+---------
 Afghanistan                           |   67.82
 Algeria                               |  383.10
 American Samoa                        |   71.80
 Angola                                |  215.48
 Anguilla                              |  106.65
 Argentina                             | 1434.48
 Armenia                               |  118.75
 Austria                               |  307.22
 Azerbaijan                            |  245.43
 Bahrain                               |  112.75
 Bangladesh                            |  402.05
 Belarus                               |  277.34
 Bolivia                               |  183.53
 Brazil                                | 3200.52
 Brunei                                |  113.65
 Bulgaria                              |  204.50
 Cambodia                              |  191.47
 Cameroon                              |  200.46
 Canada                                |  593.63
 Chad                                  |  135.68
 Chile                                 |  328.29
 China                                 | 5798.74
 Colombia                              |  709.41
 Congo, The Democratic Republic of the |  212.50
 Czech Republic                        |  133.71
 Dominican Republic                    |  318.23
 Ecuador                               |  390.13
 Egypt                                 |  694.39
 Estonia                               |  115.70
 Ethiopia                              |   91.77
 Faroe Islands                         |  114.72
 Finland                               |  101.74
 France                                |  374.04
 French Guiana                         |  103.78
 French Polynesia                      |  235.46
 Gambia                                |  129.70
 Germany                               |  831.04
 Greece                                |  232.46
 Greenland                             |  137.66
 Holy See (Vatican City State)         |  152.66
 Hong Kong                             |  142.70
 Hungary                               |  111.71
 India                                 | 6628.28
 Indonesia                             | 1510.33
 Iran                                  |  950.75
 Iraq                                  |  111.73
 Israel                                |  422.01
 Italy                                 |  831.11
 Japan                                 | 3470.75
 Kazakstan                             |  198.48
 Kenya                                 |  253.46
 Kuwait                                |  111.74
 Latvia                                |  262.40
 Liechtenstein                         |  114.72
 Lithuania                             |   73.76
 Madagascar                            |   93.78
 Malawi                                |  123.72
 Malaysia                              |  369.15
 Mexico                                | 3307.04
 Moldova                               |  127.66
 Morocco                               |  307.29
 Mozambique                            |  344.20
 Myanmar                               |  194.48
 Nauru                                 |  148.69
 Nepal                                 |  116.78
 Netherlands                           |  586.66
 New Zealand                           |   92.76
 Nigeria                               | 1511.48
 North Korea                           |  113.69
 Oman                                  |  187.50
 Pakistan                              |  525.72
 Paraguay                              |  275.38
 Peru                                  |  468.88
 Philippines                           | 2381.32
 Poland                                |  877.97
 Puerto Rico                           |  254.39
 Romania                               |  235.38
 Runion                                |  216.54
 Russian Federation                    | 3045.87
 Saint Vincent and the Grenadines      |   96.75
 Saudi Arabia                          |  523.79
 Senegal                               |  100.75
 Slovakia                              |   89.74
 South Africa                          | 1204.15
 South Korea                           |  574.65
 Spain                                 |  606.58
 Sri Lanka                             |  116.70
 Sudan                                 |  227.46
 Sweden                                |  144.66
 Switzerland                           |  252.39
 Taiwan                                | 1209.95
 Tanzania                              |  341.17
 Thailand                              |  419.04
 Tonga                                 |   73.82
 Tunisia                               |   78.77
 Turkey                                | 1662.12
 Turkmenistan                          |  136.73
 Tuvalu                                |  120.74
 Ukraine                               |  730.42
 United Arab Emirates                  |  333.16
 United Kingdom                        |  922.81
 United States                         | 4120.27
 Venezuela                             |  683.30
 Vietnam                               |  746.28
 Virgin Islands, U.S.                  |  122.68
 Yemen                                 |  510.83
 Yugoslavia                            |  259.43
 Zambia                                |  134.67
(108 rows)
